No.,標準特厚,種,杭種,typ,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y
106,標準,B,PHC-800-標準-85-B,PHC,800,110,85,48,4.0 ,8.0 ,40000 ,2512,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
107,標準,C,PHC-800-標準-85-C,PHC,800,110,85,48,5.0 ,10.0 ,40000 ,3200,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
108,標準,A,PHC-800-標準-105-A,PHC,800,110,105,60,2.0 ,4.0 ,40000 ,1231,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
109,特厚,A,PHC-800-特厚-105-A,PHC,800,130,105,60,1.8 ,3.5 ,40000 ,1231,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
110,標準,B,PHC-800-標準-105-B,PHC,800,110,105,60,4.0 ,8.0 ,40000 ,2512,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
111,特厚,B,PHC-800-特厚-105-B,PHC,800,130,105,60,3.4 ,6.8 ,40000 ,2512,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
112,標準,C,PHC-800-標準-105-C,PHC,800,110,105,60,5.0 ,10.0 ,40000 ,3200,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
113,特厚,C,PHC-800-特厚-105-C,PHC,800,130,105,60,4.4 ,8.7 ,40000 ,3200,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
114,標準,A,PHC-800-標準-123-A,PHC,800,110,123,70,2.0 ,4.0 ,42000 ,1231,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
115,特厚,A,PHC-800-特厚-123-A,PHC,800,130,123,70,1.8 ,3.5 ,42000 ,1231,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
116,標準,B,PHC-800-標準-123-B,PHC,800,110,123,70,4.0 ,8.0 ,42000 ,2512,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
117,特厚,B,PHC-800-特厚-123-B,PHC,800,130,123,70,3.4 ,6.8 ,42000 ,2512,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
118,標準,C,PHC-800-標準-123-C,PHC,800,110,123,70,5.0 ,10.0 ,42000 ,3200,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
119,特厚,C,PHC-800-特厚-123-C,PHC,800,130,123,70,4.4 ,8.7 ,42000 ,3200,700,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
120,標準,A,PHC-900-標準-80-A,PHC,900,120,80,44,2.0 ,4.0 ,40000 ,1530,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
121,標準,B,PHC-900-標準-85-B,PHC,900,120,85,48,4.0 ,8.0 ,40000 ,2983,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
122,標準,C,PHC-900-標準-85-C,PHC,900,120,85,48,5.0 ,10.0 ,40000 ,3800,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
123,標準,A,PHC-900-標準-105-A,PHC,900,120,105,60,2.0 ,4.0 ,40000 ,1530,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
124,特厚,A,PHC-900-特厚-105-A,PHC,900,140,105,60,1.7 ,3.4 ,40000 ,1530,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
125,標準,B,PHC-900-標準-105-B,PHC,900,120,105,60,4.0 ,8.0 ,40000 ,2983,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
126,特厚,B,PHC-900-特厚-105-B,PHC,900,140,105,60,3.5 ,7.0 ,40000 ,2983,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
127,標準,C,PHC-900-標準-105-C,PHC,900,120,105,60,5.0 ,10.0 ,40000 ,3800,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
128,特厚,C,PHC-900-特厚-105-C,PHC,900,140,105,60,4.4 ,8.7 ,40000 ,3800,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
129,標準,A,PHC-900-標準-123-A,PHC,900,120,123,70,2.0 ,4.0 ,42000 ,1530,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
130,特厚,A,PHC-900-特厚-123-A,PHC,900,140,123,70,1.7 ,3.4 ,42000 ,1530,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
131,標準,B,PHC-900-標準-123-B,PHC,900,120,123,70,4.0 ,8.0 ,42000 ,2983,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
132,特厚,B,PHC-900-特厚-123-B,PHC,900,140,123,70,3.5 ,7.0 ,42000 ,2983,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
133,標準,C,PHC-900-標準-123-C,PHC,900,120,123,70,5.0 ,10.0 ,42000 ,3800,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
134,特厚,C,PHC-900-特厚-123-C,PHC,900,140,123,70,4.4 ,8.7 ,42000 ,3800,790,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
135,標準,A,PHC-1000-標準-80-A,PHC,1000,130,80,44,2.0 ,4.0 ,40000 ,1800,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
136,標準,B,PHC-1000-標準-85-B,PHC,1000,130,85,48,4.0 ,8.0 ,40000 ,3600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
137,標準,C,PHC-1000-標準-85-C,PHC,1000,130,85,48,5.0 ,10.0 ,40000 ,4600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
138,標準,A,PHC-1000-標準-105-A,PHC,1000,130,105,60,2.0 ,4.0 ,40000 ,1800,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
139,特厚,A,PHC-1000-特厚-105-A,PHC,1000,150,105,60,1.8 ,3.6 ,40000 ,1800,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
140,標準,B,PHC-1000-標準-105-B,PHC,1000,130,105,60,4.0 ,8.0 ,40000 ,3600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
141,特厚,B,PHC-1000-特厚-105-B,PHC,1000,150,105,60,3.6 ,7.1 ,40000 ,3600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
142,標準,C,PHC-1000-標準-105-C,PHC,1000,130,105,60,5.0 ,10.0 ,40000 ,4600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
143,特厚,C,PHC-1000-特厚-105-C,PHC,1000,150,105,60,4.5 ,8.9 ,40000 ,4600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
144,標準,A,PHC-1000-標準-123-A,PHC,1000,130,123,70,2.0 ,4.0 ,42000 ,1800,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
145,特厚,A,PHC-1000-特厚-123-A,PHC,1000,150,123,70,1.8 ,3.6 ,42000 ,1800,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
146,標準,B,PHC-1000-標準-123-B,PHC,1000,130,123,70,4.0 ,8.0 ,42000 ,3600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
147,特厚,B,PHC-1000-特厚-123-B,PHC,1000,150,123,70,3.6 ,7.1 ,42000 ,3600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
148,標準,C,PHC-1000-標準-123-C,PHC,1000,130,123,70,5.0 ,10.0 ,42000 ,4600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
149,特厚,C,PHC-1000-特厚-123-C,PHC,1000,150,123,70,4.5 ,8.9 ,42000 ,4600,880,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
150,標準,A,PHC-1100-標準-80-A,PHC,1100,140,80,44,2.0 ,4.0 ,40000 ,2200,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
151,標準,B,PHC-1100-標準-85-B,PHC,1100,140,85,48,4.0 ,8.0 ,40000 ,4400,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
152,標準,C,PHC-1100-標準-85-C,PHC,1100,140,85,48,5.0 ,10.0 ,40000 ,5500,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
153,標準,A,PHC-1100-標準-105-A,PHC,1100,140,105,60,2.0 ,4.0 ,40000 ,2200,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
154,特厚,A,PHC-1100-特厚-105-A,PHC,1100,160,105,60,1.8 ,3.6 ,40000 ,2200,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
155,標準,B,PHC-1100-標準-105-B,PHC,1100,140,105,60,4.0 ,8.0 ,40000 ,4400,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
156,特厚,B,PHC-1100-特厚-105-B,PHC,1100,160,105,60,3.5 ,7.0 ,40000 ,4400,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
157,標準,C,PHC-1100-標準-105-C,PHC,1100,140,105,60,5.0 ,10.0 ,40000 ,5500,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
158,特厚,C,PHC-1100-特厚-105-C,PHC,1100,160,105,60,4.3 ,8.6 ,40000 ,5500,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
159,標準,A,PHC-1100-標準-123-A,PHC,1100,140,123,70,2.0 ,4.0 ,42000 ,2200,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
160,特厚,A,PHC-1100-特厚-123-A,PHC,1100,160,123,70,1.8 ,3.6 ,42000 ,2200,980,1275,1420,200000 ,false,0,0,0,0,0,0,0,0,0,0
