No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,CatalogAo,CatalogAe,CatalogIe,CatalogMal,CatalogMas,CatalogMcr,CatalogMu,CatalogQal,CatalogQas,CatalogQcr,CatalogNal,PcDesignation,PcCount
1054,特厚型,A,MS-hi105-800-特厚型-A,PHC,800,150,105,60,2.00,4.0,40000,1570,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,306300,312600,17411960000,217.0,261.0,478.0,731.0,395.0,512.0,682.0,8127.0,10.0,20
1055,標準型,B,MS-hi105-800-標準型-B,PHC,800,110,105,60,4.00,8.0,40000,2512,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,238400,248500,15149190000,378.0,454.0,567.0,1140.0,402.0,509.0,658.0,5468.0,10.0,32
1056,厚型,B,MS-hi105-800-厚型-B,PHC,800,130,105,60,3.85,7.7,40000,2512,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,273600,283700,16530250000,395.0,475.0,605.0,1137.0,457.0,578.0,750.0,6339.0,10.0,32
1057,特厚型,B,MS-hi105-800-特厚型-B,PHC,800,150,105,60,4.00,8.0,40000,3200,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,306300,319100,17799980000,444.0,533.0,667.0,1419.0,526.0,665.0,861.0,7020.0,11.2,32
1058,標準型,C,MS-hi105-800-標準型-C,PHC,800,110,105,60,5.00,10.0,40000,3200,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,238400,251200,15312970000,478.0,574.0,650.0,1429.0,444.0,558.0,717.0,5026.0,11.2,32
1059,厚型,C,MS-hi105-800-厚型-C,PHC,800,130,105,60,4.75,9.5,40000,3200,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,273600,286400,16694030000,497.0,596.0,690.0,1424.0,503.0,633.0,815.0,5858.0,11.2,32
1060,特厚型,C,MS-hi105-800-特厚型-C,PHC,800,150,105,60,5.00,10.0,40000,4000,690,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,306300,322300,17990420000,562.0,674.0,764.0,1740.0,581.0,730.0,938.0,6446.0,11.2,40
1061,標準型,A,MS-hi105-900-標準型-A,PHC,900,120,105,60,2.00,4.0,40000,1536,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,294100,300200,23371320000,259.0,311.0,571.0,819.0,373.0,482.0,643.0,7805.0,9.0,24
1062,厚型,A,MS-hi105-900-厚型-A,PHC,900,140,105,60,2.00,4.0,40000,1536,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,334300,340400,25432230000,281.0,338.0,620.0,820.0,426.0,551.0,735.0,8855.0,9.0,24
1063,特厚型,A,MS-hi105-900-特厚型-A,PHC,900,160,105,60,2.00,4.0,40000,1884,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,372000,379500,27239140000,302.0,363.0,665.0,992.0,478.0,619.0,825.0,9867.0,10.0,24
1064,標準型,B,MS-hi105-900-標準型-B,PHC,900,120,105,60,4.00,8.0,40000,2983,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,294100,306000,23822860000,529.0,635.0,793.0,1534.0,496.0,627.0,811.0,6733.0,10.0,38
1065,厚型,B2,MS-hi105-900-厚型-B2,PHC,900,140,105,60,3.75,7.5,40000,2983,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,334300,346200,25883760000,536.0,644.0,831.0,1529.0,550.0,697.0,905.0,7804.0,10.0,38
1066,特厚型,B,MS-hi105-900-特厚型-B,PHC,900,160,105,60,4.00,8.0,40000,3800,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,372000,387200,27837030000,618.0,742.0,927.0,1910.0,636.0,805.0,1042.0,8518.0,11.2,38
1067,標準型,C,MS-hi105-900-標準型-C,PHC,900,120,105,60,5.00,10.0,40000,3800,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,294100,309300,24077800000,668.0,802.0,909.0,1924.0,547.0,688.0,884.0,6186.0,11.2,38
1068,厚型,C2,MS-hi105-900-厚型-C2,PHC,900,140,105,60,4.65,9.3,40000,3800,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,334300,349500,26138710000,675.0,810.0,947.0,1917.0,606.0,764.0,983.0,7231.0,11.2,38
1069,特厚型,C,MS-hi105-900-特厚型-C,PHC,900,160,105,60,5.00,10.0,40000,4750,790,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,372000,391000,28133480000,781.0,937.0,1062.0,2350.0,702.0,883.0,1135.0,7819.0,12.6,38
1070,標準型,A,MS-hi105-1000-標準型-A,PHC,1000,130,105,60,2.00,4.0,40000,1920,890,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,355300,363000,35128150000,351.0,421.0,772.0,1137.0,450.0,582.0,776.0,9438.0,9.0,30
